PCID	Name	Manufacturer	URL	Source	CompositionInfo	ManufacturerInfo	ImportantInfo	ObservationsInitial	Oil?	Oil2?	ObservationsColourTranslucency	Opacity	Resistance	Stringiness	ObservationsGrinding	Details	Shape	Scratching	Smoothness	Impasto	Grittiness	ObservationsApplication	ColourIntensity	Glossiness	HidingPower	TintingStrength	ObservationsMixingLW	ObservationsApplicationLW	ObservationsDrying	DryingSpeed	DryOn	ObservationsWrinkling	HistoricalReferences	OtherPigmentCheckers	PigmentSampled		
3B2	Lapis lazuli	10550	https://www.kremer-pigmente.com/en/pigments/kremer-made-and-historic-pigments/7439/lapis-lazuli-bright-pure-blue?number=10550	TAH		"finer than 20 µ, very pure, from South America"		"lavender coloured, fine powder"	20	0.75	dark blue	2	1	3	quite liquid	4	2	1	4	1	1	smooth application	5	5	1	1	colour becomes a bit more like lavender again	hard to apply it thin		painted out: 22-05-18	Dry	Smooth glossy film			Y		
3B3	Ultramarine ash	10580	https://www.kremer-pigmente.com/de/ultramarinasche-10580.html?number=10580	TAH		by-product of Lapis Lazuli 10530		"very fine power, computed together when dry"	15 / 1 ml	0.5	dark translucent	2	3	1	starts gritty but gets smooth	2	1	2	4	1	3	"gritty when applied thinly, but makes translucent smooth layer that settles when it is applied thickly"	4	5	1	1	greyish colour	applies smoothly when thick		painted out: 06-08-18		18-08-18: medium seems to have separated from pigment. medium seepe dunder tape leaving gritty underbound paint that is patchy and doesn't make a consistent glaze		HSI	Y		
3B4	Lapis lazuli pale	10540	https://www.kremer-pigmente.com/de/lapis-lazuli-hell-10540.html	Mauritshuis		highest quality ultramarine with the largest particles and the least amount of impurities (although it has NOT been rolled in wax to purify it)		"very fine powder, clumped together slightly"	14 / 1 ml	0.5	"bright dark blue, translucent"	1	1	3		4	2	1	4	2	3	"Fairly gritty, when applied thinly but looks smooth in the thicker area "	5	5	1	3	"Bright, baby blue. Becomes smoother"	Fairly thick and difficult to apply		painted out: 24-09-2018 	dry when examined: 04-12-2018	Surface is slightly wrinkled at a microscopic level			Y. TAH stash empty		
3B5	Lapis Lazuli good quality	10520	https://shop.kremerpigments.com/en/pigments/kremer-made-and-historic-pigments/4465/lapis-lazuli-good-quality	Mauritshuis				"very fine powder, clumped together slightly"	17		"deep dark blue, medium translucent"	2	2	3	"after grinding for a while, it suddenly got a lot smoother and made less sound instead of being a gradual transition"	4	2	1	4	2	2	"Fairly gritty, when applied thinly but looks smooth in the thicker area. Somewhat difficult to apply thick smoothly"	4	4	1	3					dry but slightly rubbery on 04-12-2018				Y		
3B6	Fra Angelico blue	10530	https://shop.kremerpigments.com/en/pigments/kremer-made-and-historic-pigments/4466/lapis-lazuli-purest	Charlotte Caspers					20	0.6	"deep intense blue, very translucent"	1	1	1	Very smooth grinding from the start	4	2	1	5	1	1	Very smooth and well dispersed	4	4	1	3	lead white seemed to want to separate from the blue at the beginning of grinding	"smooth application, almost lilac colour"			still wet to the touch on 04-12-2018. Could be scratched with a stick. Square mixed with lead white was dry				N		
3C1	"Indigo, genuine, pieces"	36002	https://www.kremer-pigmente.com/en/pigments/kremer-made-and-historic-pigments/544/indigo-genuine-pieces?number=36002	TAH		from India	What indigo plant does it come from?	intense dark blue powder	28	0.9	"very opaque and very dark, almost black"	5	2	1	crunchy sound. paint sticks to glass plate and goes into the tiny grooves 	5	5	2	5	5	1	after one stroke it covers the area. very smooth and nice to work with. A thin layer of paint still covers the lines beneath it. It is the only paint that you can apply thinly without seeing grains	3	2	5	4		"with almost no paint on the brush, you can fill the whole area easily"		painted out: 22-05-18	Wet	"Smooth layer, has imbibed some dust "		C2RMF	N		
3C2	Indigo made of woad	36003	http://www.kremer-pigmente.com/en/pigments/kremer-made-and-historic-pigments/7608/indigo-made-of-woad	TAH	natural blue dye made of woad				28	1.5	"dark blue, jeans coloured, almost black"	5	4	5	very glossy. 	3	4	4	2	2	1	"Quite sticky, but still paints quite smooth, comes of the brush easily. When you apply the brush again, it takes the paint from the first layer. Very opaque, very hard to make a thin layer, you have to scrape the paint off a bit. "	5	4	5	1	easy	"easy to apply, smoother than without. still difficult to apply thin layer."		painted out: 17-04-18	Dry				Y		
3C3	Indigo 'issu d'Indigofera tinctoria'	"Couleur Garance, Jardin Conservatoire des Plantes Tinctoriales "	not on website?					Very dark pigment. Very fine particles. Dense. strong colouring properties	30	1.7	"very dark blue, nearly black. Not translucent"	4	2	1	"Before grinding, grainy"	5	5	4	5	3	1	"very opaque, covers the square evenly and completely. easy to paint with. Little paint needed to cover whole square"	5	3	5	5	easy mixing	"very easy to get smooth surface, easier than without leadwhite. paint feels a bit thicker"		painted out: 25-05-2018	Wet	Glossy with brushstrokes			Y		
3C5	Lapis lazuli			Charlotte Caspers / unknown source from Michel van de Laar's studio				8 drops for 1 ml	16		"Very translucent, dark and warm"	1	2	1	Surprisingly easy to grind	4	4	4	3	2	2		2	2	1	5		Not much easier to get a smooth surface							Y		
3C6	Vivianite	104000	https://www.kremer-pigmente.com/en/pigments/kremer-made-and-historic-pigments/49/vivianite?number=104000	TAH	Ferric phosphate	0 - 120 µ. Our vivianite is a rare earth blue sourced from scuba divers in Australia. It is an aqueous iron phosphate that looks like almost transparent glass and takes on its blue-grey color only when ground.		Pigment in powder form is ashy blue (not transparent glass as is suggeste by the info from manufacturers)	10	0.5	"very dark blue, nearly black. glossy and translucent"	2	2	1	"Started off gritty, but became smooth and glazey"	5	2	3	3	2	2	"gritty during application, but not difficult to apply. become matte quite quickly (fast drying?)"	5	2	4	3	mixed well but gritty			painted out: 06-08-18					Y		
4A1	Weld (pot. carbonate/ pot. alum) 	Made in TAH course with Maarten van Bommel (2018)	-	made during TAH Maarten course		"Standard weld lake recipe, recipe 1 (Code: WL-Std):  Put 5 g weld broken into small pieces in a polyester netting bag. Put the bag in a 500 ml beaker and add 300 ml distilled water, soak it overnight (now for 1 hour). Then bring the solution to the boil, with stirring, and boil for 30 minutes. Remove the bag. (If necessary, filter the solution using a glass funnel and folded filters (597½ Whatman)). Add 5 g potassium carbonate (K2CO3) and heat until 80 °C. The pH will be about 11–12. Dissolve 15 g potash alum (KAl(SO4)2•12H2O) in about 90 ml distilled water (this will need to be heated; cool again to room temperature); this is an excess and it will not all be used. Add the alum solution (pH will be about 3) very gradually to the alkaline dye solution with stirring; this will cause effervescence. Continue to add until there is no further effervescence. Check the pH on a regular basis; stop adding the alum solution when the pH is between 6 and 7. Leave to stand overnight for the precipitate to settle. Next the pigment is filtered (or centrifuged) and wash with demineralized water until no colour comes off. To be sure, one can check for access sulphate with the use of a barium chloride solution as this will precipitate. Finally filter to remove all liquid and allow drying. As alternative to filtration one can centrifuge the pigment. Decant some of the supernatant liquid and centrifuge; add distilled water and stir to wash; centrifuge again; repeat several times until no colour comes off, check with barium chloride. Finally filter remaining liquid and dry precipitate in desiccators."	"made by Karina and Ben during Natural dyes and pigments class, 4A1"	flaky pigment	28	1.8	"very translucent, very yellow, less brown than in the other home made pigments. thick glaze like."	1	2	3	very flaky	5	3	3	3	1	1	sticky	4	4	1	4	paint becomes more supple.	"slightly more opaque, but not that much. hiding power has improved."			Dry				Y		
4A2	Weld lake (yellow lake Reseda)	36262	https://www.kremer-pigmente.com/en/pigments/kremer-made-and-historic-pigments/565/lake-made-of-reseda?number=36262	TAH	"Made from weld, (Reseda luteola)"			agglomerations of pigment.	27	1.1	less translucent than the homemade weld pigments	2	4	1	"feels gritty and lot of clumps, hard to disperse the pigments evenly, very coarse."	5	3	3	1	1	5	very grainy and coarse	2	3	1	3	becomes more supple	"brushstrokes become more visible, rather difficult to work with."			Dry	Glossy on right side		UD	Y		
4A3	Weld lake with chalk and alum	Recipe derived from 15th-century Italian recipes for arzica		Annelies van Loon	Made by Annelies van Loon in ±2009 at Maarten van Bommel workshop	"RECIPE 2 – WITH CHALK AND ALUM Recipe derived from 15th-century Italian recipes for arzica: A.P. Torresi, Tecnica artistica a Siena: Alcuni trattati e ricettari del Rinascimento nella Biblioteca degli Intronati, Ferrara 1993: Codex L.XI.41 (Siena, Biblioteca Comunale degli Intronati), no. XX, p. 46. Compare M.P. Merrifield, Original Treatises dating from the XIIth to XVIIIth Centuries on the Arts of Painting, 2 vols., London 1849, vol. II: Segreti per colori (the Bolognese Manuscript), no. 194, pp. 482–5. 3 l distilled water was added to c. 100 g dried weld, broken into small pieces, in a 5 l beaker and the mixture was brought to the boil with stirring. It was left to boil until the volume had reduced to c. 2 l in volume and a deeply coloured solution was produced. Excess plant matter was removed by filtering as above to give c. 1 l of a fairly clear golden-brown solution. Then, while warming gently, a mixture of 8 g potash alum (KAl(SO4)2·12H2O) and 32 g chalk (CaCO3), both finely ground, was added to the solution with constant stirring (the two solids were mixed together before addition as implied by the recipe, but they can be added separately, the alum followed by the chalk). The solution started to foam and a bright yellow precipitate was formed. The pH of the supernatant solution was ~ 6–7. The mixture was then covered, cooled and left to react and settle overnight. The next day the precipitate was lemon yellow; the supernatant liquid was yellow and cloudy, with quite a lot of material still in suspension. The precipitate was of a very fine particle size and a number of filter paper grades were tried before eventually settling on a 12.5 cm Grade 3 Whatman filter paper. It was important to try to get rid of the liquor quickly before it started to ferment, but the precipitate was not allowed to go to dryness. The product was washed thoroughly with distilled water until the filtrate was completely colourless; several aliquots of hot water were used towards the end of the process, which took several days. The precipitate was then taken to dryness and transferred to a desiccator. It was stored over silica gel until thoroughly dried. The resulting pale yellow lake was ground using a mortar and pestle. "	Used in reconstructions 03/2019 for 'Girl with a Pearl Earring' headscarf	Used for MMdP headscarf reconstructions in 03/2019	4.173g + 1.822g oil = 5.89 total		very translucent	1	1			5		3	3	3	1		4	4	1	3							Recipe derived from 15th-century Italian recipes for arzica		N		
4A5	"Orpiment, genuine, King's Yellow, coarse, 17 + gypsum (gesso sottile)"	10700 + 'gesso sottile' from C&R paintings reconstructions cupboard	https://www.kremer-pigmente.com/en/pigments/kremer-made-and-historic-pigments/79/orpiment-genuine?number=10700	TAH / C&R paintings reconstructions cupboard	"arsenic trisulphide, As₂S₃ gyspum CaSO4"	"Orpiment: King´s Yellow, coarse, 175 µ, contains arsenic, toxic. King s Yellow is a sparkling, translucent golden yellow mineral found in hot springs and volcanoes. The origin of the modern name comes from the Latin term auri pigmentum or auripigment, meaning gold paint. Gypsum: unknown source"	Dangerous! Toxic! The mixture with lead white is on the left side instead of the right side.		2 more oil drops of the orpiment mixture already made	more or less 1 part orpiment paint 1 part dry gypsum	little bit darker than orpiment alone. Gypsum has probably change the RI	4	"harder than orpiment alone, more stiff. 4"	2	As gritty as orpiment alone	1	5	5	2	3	5	"more body than orpiment, otherwise it is quite similar"	4	more matte than orpiment alone	not a huge difference than orpiment alone	3	smoother	a lot smoother. Nice to paint. Not sandy anymore.							N		
4A6	Curcuma/turmeric	37220	https://www.kremer-pigmente.com/en/dyes-und-vegetable-color-paints/natural-organic-dyes-und-vegetable-color-paints/597/turmeric-powder			Turmeric from India		Clumpy	30		"Quite translucent with some opaque particles, brownish when thick but fairly bright yellow when thin"	1	1	1	Particles feel 'soft' when grinding. Has some dark inclusions	2	4	4	1	4	5	Clumpy	4	1	1	4	"Seemed a fairly smooth paint, produced a mustard colour"	Surprisingly gritty still							Y		
4B1	"Lead Tin Yellow I deep, changed hue, < 38µm"	10110	https://www.kremer-pigmente.com/en/pigments/kremer-made-and-historic-pigments/11/lead-tin-yellow-deep?number=10110	TAH (small amount)	Lead stannate	"changed hue, < 38 µ, contains lead, toxic."			10	0.5	pastel light yellow	5	1	1	easy to make	2	4	5	4	3	1	paint is smooth but sticky	1	2	4	4	keeps same texture	hard to make a transition from thin to thick			Dry	Has imibed some dust		C2RMF / HSI 10100	Y		
4B2	Lead Tin Yellow II	10120	https://www.kremer-pigmente.com/en/pigments/kremer-made-and-historic-pigments/12/lead-tin-yellow-ii?number=10120	UvA toxic cupboard (finished)	"Pb(Sn,Si)O3"	"yellow lead glass, 0 - 63 µ, contains lead, toxic Vibrant lead-tin glass used in frescos in the thirteenth century. Contains lead: TOXIC!"	Toxic!		10	1	rather opaque	4	1	1	smooth	4	4	2	2	3	5	"clumps in the paint. when you apply dots it is a bit viscous. When appling to a painting, less covering powder than LTY I deep (4B1)"				2	smooth	"very smooth, especially as without lead white is was quite gritty"			Dry	"Looks ""gloopy"" and somewhat glossy"			Y		
4B3	Massicot / Litharge	43010	https://www.kremer-pigmente.com/de/massicot-bleiglaette-43010.html?number=43010	UvA toxic cupboard		"yellow lead oxide, litharge, pieces, contains lead, toxic"	Toxic!	"Was applied after orpiment, maybe with the same brush, which caused a chemical reaction. Explained by Joris Dik: PbO + AsS --> PbS (black) + AsS03 (colourless)"	10	1	rather opaque	4	2	1	went from dry (too much pigment) to loose paint suddenly	5	4	3	3	3	2		1			4	smooth	smooth			Dry	Greyish colour		C2RMF	Y		
4B4	Massicot / Litharge [applied 11-12-20]	43010	https://www.kremer-pigmente.com/de/massicot-bleiglaette-43010.html?number=43010	UvA toxic cupboard		"yellow lead oxide, litharge, pieces, contains lead, toxic"	"Same pigment as 4B4, but was reapplied on 11-12-20 because of the degradation of 4B4"																														
4B5	"Orpiment, genuine, King's Yellow, coarse, 17"	10700	https://www.kremer-pigmente.com/en/pigments/kremer-made-and-historic-pigments/79/orpiment-genuine?number=10700	TAH	"arsenic trisulphide, As₂S₃"	"King´s Yellow, coarse, 175 µ, contains arsenic, toxic. King s Yellow is a sparkling, translucent golden yellow mineral found in hot springs and volcanoes. The origin of the modern name comes from the Latin term auri pigmentum or auripigment, meaning gold paint."	Dangerous! Toxic!		60	5	rather opaque (when thin it is translucent)	4	3	2	takes a lot of oil . A little bit gritty	1	3	3	2	1	5	it feels the pigments clumop out and feels the pigment separates	4	more matte on the thinner part that the thicker	only on the thin layers is possible to see the underdrawing	5	smoother	smooth			Not dry				Y		
4B6	Realgar	10800	https://www.kremer-pigmente.com/en/pigments/kremer-made-and-historic-pigments/81/realgar-genuine	TAH	arsenic sulphide mineral α-As₄S₄	"red orpiment, 175 µ, contains arsenic, toxic. Realgar is a natural orange-red sulphide of arsenic. It is chemically closely related to orpiment. The two minerals are often found in the same deposits."	Dangerous! Toxic!		15	2	rather opaque (when thin it is translucent)	4	3	3	"takes a lot of oil. is quite smooth. less than orpiment, but quite gritty. "	1	4	5	3	2	5	very gritty to apply and becomes sandy after a brushstrokes	5	thicker layer is glossy than the thin layer. (Less glossy when compared with the lakes)	only on the thin layers is possible to see the underdrawing	3	smoother	a lot better when compared whith realgar alone. not sandy when applied			Not dry	"When mixed with lead white, has turned pinkish with a silvery surface"		HSI	Y		
4C1	Weld (Pot. Carb + Kalium and Alum sulfate) 	Made during TAH Mayerne course	-	TAH		"[from logbook Marélise Pollard] • Add 4 grams of weld to 120 ml demi water, boil for 30 min • Let the pot. Car  (3.997g) dissolve in demi water • Sieve the weld solution through a linen cloth into a clean beaker; let it cool down to 50°C  • Add the alum (12.04 g = kalum-aluminumsulfate), and heat up to 80°C. check pH: should be between 6-7 • Slowly add the dissolved potassium carbonate and stir gently  • Convert the mixture to a cylinder glass and let settle • Decant the cylinder 3 times and let it dry"	"Mayerne recipe, Location on pigment checker board: 4C1"	Very flaky	31	1.3	"Pigment rather brownish, but smudges are yellow"	1	3	1	"Very clumpy, takes a long time before it is mixed with the oil"	5	1	4	5	1	1		3	3	1	5	"does not get much smoother, but somewhat thicker"	"somewhat more opaque, just as easy to apply. thick layer is more pleasent to apply, its more smooth than the thin layer"			Dry				N		
4C2	Weld + chalk	Made during TAH Mayerne course	-	TAH		Rec. 1 [made by Jenny Bouboullé]: Weld + calcium carbonate + alum	"Mayerne recipe, Location on pigment checker board 4C2"	"Lots of chalk scales/flakes, coarse"	30	0.9	"turns brown when adding oil, dark caramel colour. fudge"	1	3	2	"was very brown, but turns more yellow during grinding. A very brownish/orange yellow (somewhat like apple syrup) "	5	3	2	4	1	2	"paint tends to flow to the sides, easy to paint with, little paint needed to colour the square in"	2	4	1	1	Adding lead white gives it a more buttery texture	"Opacity increases a lot, somewhat difficult to make a thick/thin transition"			Rubbery	Smooth layer but some dark partiicles within it			Y. TAH stash empty		
4C3	Weld (South of France): Jaune de reseda	Plantes & Couleurs	http://www.couleur-garance.com/Notre-Boutique/en/pigments-for-paint/642-jaune-de-reseda-10ml.html	TAH		Pigment vegetal. Une gamme de 6 laques 100% naturelles spécialement étudiée pour pouvoir couvrir toute la palette des couleurs. Conditionné en pot de verre. Pigment Jaune de Réseda issu du Réseda des teinturiers ou Gaude (Reseda luteola)	Location on pigment checker board 4C3	"Very fine powder, somewhat clumpy. Soft, warm yellow."	15	0.7	"turns brown when adding oil, dark caramel colour. fudge"	1	2	2	turns more greenish/yellow during grinding	5	2	1	4	1	1	paint is very smooth 	2	4	1	1	texture became very thick. more buttery	little bit more resistant			Dry	Uneven gloss due to diffeing thickness			Y		
4C4	Avignon berries precipitated on chalk	Made during Mayerne course				[from logbook Marélise Pollard] • Add the dried Avignon (10g) berries to 200 ml demineralized water and let it soak for a night • Boil for 30 minutes  • Let the Champagne chalk (14.98g) dissolve in demineralized water • Sieve the Avig. Berr. into a clean beaker through a linen cloth. • Heat the solution up to 50°C and add the alum solution (4.990 g alum =alium-aluminiumsulfate) • Heat the solution up to 80°C. Then slowly add the champagne chalk and stir gently until the solution is neutral (measure with pH paper) • Convert the mixture to a cylinder glass and let settle • Decant the cylinder 3 times and let it dry on a petri dish • Scrape the pigment off and put it in a jar	"Mayerne recipe, Location on pigment checker board 4C4"	"Very pale pigment powder, quite fine"	19	0.7	"Greenish yellow, not very tanslucent"	3	3	3	Smoother than the weld	5	3	2	3	1	1	"Seems rather 'warm' on the glass plate, but not on the panel. texture is rather sticky."	1	4	1	3	the texture gets a lot thicker	lead white does not do much for the opacity			Dry				N		
4C5	Avignon berries precipitated on potassium carbonate	Made during Mayerne course		TAH		[made by Jenny Boulboullé] Rec. 2: Avignon berries + potassium carbonate + alum	"Mayerne recipe, location on pigment checker board 4C5"	"Golden yellow, rather fine, not many clumps"	20	0.7	"turns brown (milk chocolate) when adding oil, has the texture of molten chocolate that is cooling down"	2	1	2	"hard to apply pressure because of the smoothness, turns a little bit more yellow during grinding"	5	2	2	5	1	1	"paint is very smooth, little paint is needed to cover the square "	2	4	1	3	paint became very thick	"hard to paint a thin layer, paint is more resistant "			"Wet, can be scraped with nail"				Y		
4C6	Weld (alum/CaCO3)	Made in TAH course with Maarten van Bommel (2018)				"Weld lake recipe 2 (Code: WL-Al-Ch): Put 5 g weld broken into small pieces in a polyester netting bag large enough to allow the plant material to move freely. Put the bag in a 500 ml beaker and add 300 ml demineralized water, soak it overnight (for now 1 hour). Then bring the solution to the boil, with stirring, and boil for 30 minutes (fig. 6). Remove the bag and filter the solution hot using a glass funnel and folded filters. Add 5 g potash alum (KAl(SO4)2.12H2O) and heat to 80 °C. Weigh out about 15 g calcium carbonate (CaCO3).* Add this very gradually to the alum-dye solution with stirring; this will cause effervescence (foaming) at first, but observe what happens if you add chalk past this point. Leave to stand overnight for the precipitate to settle (fig. 7). Next the pigment is filtered and washed with demineralized water until the filtrate is clear and no further colour comes off. Allow the precipitate to dry in a desiccator. *The more chalk you add, the lighter the colour will be so you may not wish to add the full amount."	made by Marélise and Suzanne during Natural dyes and pigments class. 4C6	"very fine, bright powder"	20	0.6	"very translucent , brownish-yellow"	2	2	3	very brown colour but smeared out--> bright yellow	5	4	4	3	1	2		3	4	1	2	"paints get thicker, more easy to handle"	"more hiding power, less difference in thin and thick applicance"			"Wet, can be scraped with nail"				N		
5A1	Gold ochre	40220	https://www.kremer-pigmente.com/en/pigments/earth-pigments/1265/italian-gold-ochre-light?number=40220	TAH/UvA		"Sienna from Verona. Natural yellow ochre from Italy. Pigment Yellow 43, C.I. No. 77492"		Fine powder	14	0.4	"Brownish-yellow, ochre yellow"	4	3	2	Fairly gritty	4	4	5	1	1	4	Very difficult to make it thick and completely covering	2	3	2	3	"Better consistency, less gritty"	More opaque	 					HSI 40301 / C2RMF 11520 / 11540 / 11572 / 116421 / 11650	Y		
5A2	French ochre	40030	https://www.kremer-pigmente.com/en/pigments/earth-pigments/1252/french-ochre-joles?number=40030	UvA	"Yellow earth pigment, washed"	"Natural yellow earth from France. Pigment Yellow 43, C.I. 77492"		"Fine powder, sticks together, hard to make mountain"	18	0.6	caramel	4	4	4	Pigment sucks up the oil. It is hard to scrape the paint with the spatula. 2 ml seems not enough	3	4	3	2	3	2	"Feels like it dries quickly. Doesn't flow too well. Sticky, sticks to the brush"	3	2	3	4	"Smooth mixing, but it dries fast"	"streaky and sticky, and it sticks to the brush"	it seems to dry very fast			Imbibed some dust (the most out of row A). Particles visible on thick side			Y		
5A3	Dark ochre	40310	https://www.kremer-pigmente.com/en/pigments/earth-pigments/1279/dark-ochre-german?number=40310	UvA reconstructions cupboard	"Dark ochre, German"	PY 43.77492			20	0.8		4	3	3		4	3	2	2	2	2	"Sticky, difficult to remove brush strokes "	4	4	3		Mixes easily with consistent colour	"Spreads well, seems lees glossy, brush catches less, doesn't spread as well and seems to dry a bit faster, high tinting strength (colour doesn't change much when adding lead white) "				Imbibed some dust. Particles visible on thick side			Y		
5A4	English red light	40542	https://www.kremer-pigmente.com/en/pigments/earth-pigments/1311/english-red-light?number=40542	TAH	"mixed red earth, orange, burnt"	Natural inorganic pigment. Fe2O3 + CaCO3			13	0.5	Bright reddish	4	3	4	"dries quickly during grinding, you do not hear any particles, sticks to the muller "	2	2	2	2	2		"it is not spreading very well, it dries very very fast"	5	4	4	4	"easiy to mix, starts 'marbely' colour is not completely the same at all the parts- "	"really smooth, easily  applied, opac, less shiniy little difference between dark and light, side. dries during application brush marks are remaining no matter how much you brush it out"	"very opaque hides the underdrawing, more pinkish hue. shiny. "			Imbibed some dust. Particles visible on thick side		HSI	Y		
5A5	Ocre jaune JFLES	"Vaucluse n27, Okhra. T2700040A"	http://okhra.com/shop/ocre-pigment-jaune/57-ocre-jaune-jfles.html	TAH	"Natural mineral pigment, the most fine ochre from Vaucluse"	"L'ocre jaune JFLES est un pigment naturel d'origine minérale. La plus fine des ocres jaunes de Vaucluse, ce pigment jaune foncé est une ocre lumineuse et chaleureuse. L'ocre jaune JFLES est utilisable sans restriction dans toutes les techniques d'enduits et de peintures artistiques et décoratives."			8		warm light brown	3	2	1	"very smooth, didn't require much grinding"	4	4	4	3	2	2		4	3	2	3	beautiful smooth paint								Y		
5A6	Ocre Havane	"Vaucluse n28, Okhra. T2800040A"	http://okhra.com/shop/ocres-et-pigments-rouge-et-orange/59-ocre-havane.html	TAH	"Natural mineral pigment, the only orange ochre from Vaucluse"	"L'ocre havane est un pigment naturel d'origine minérale. Ce pigment ocre havane, référencé T28, est la seule teinte orange des ocres du Vaucluse. Couleur chaude et lumineuse, elle est utilisable sans restriction dans toutes les techniques d'enduits et de peintures décoratives et artistiques."			7		light reddish brown	2	2	1	very smootg. may have added too much oil	4	3	2	3	2	2		4	3	2	2	smooth paint	Brushstrokes visible during application but paint feels smooth							Y		
5B1	"Raw umber, dark"	40660	https://www.kremer-pigmente.com/en/pigments/earth-pigments/1326/raw-umber-dark?number=40660	UvA	"brown slightly greenish, from Cyprus"	Natural brown umber. Pigment Brown 8 (CAS-Nr. 1309-37-1)			19	1.5	Changed from grenish brown to very brown with a green tint	4	4	3	After quite some grinding there are still sounds from the grinding	2	5	5	1	5	4	Fairly think paint	2	3	4	3	Less gritty	"The lead white shows the colour of the original pigment more, going to a more greenish tint"				"Glossy where thickest, even when dry"			Y		
5B2	Raw umber (Cyprus)	40610	https://www.kremer-pigmente.com/en/pigments/earth-pigments/1314/raw-umber?number=40610	TAH	Natural brown umber from Cyprus	"Pigment Brown 8, C.I. 77727"		sandy - grainy korrelig (granular)	10	0.4	like chocolat dark 70 % 	2	2	3	"sticks no sound, don't hear particles similar to red ocher english dries very quickly "	2	5	5	3	4	1	"dries fast- to keep it the same consistency you could add oil, although we choose not to for the unmix, but we added 1,5 drops before mixing it with lead white. "	5	3	5	2	very easily consistant colour	"very easy very opaque, covers very well only little glos, the brush strokes are visible but not to much viscose, not a lot of differnce between dark and light side-  also fahed tried gradience, but mostly not different because of opaque ness. "				Some gritty particles visible 		CHS 40610	N		
5B3	Burnt umber (Cyprus)	40710	https://www.kremer-pigmente.com/en/pigments/earth-pigments/1332/burnt-umber-brownish?number=40710	TAH	Natural brown earth from Cyprus	"Natural brown earth, contains manganese oxides. Pigment Brown 8, C.I. 77727"			23	1	Very dark chocolate	4	2	4	Smooth. Very clear when it's done	4	4	5	2	4	1		4	4	5	4	"More supple, less sticky"	Becomes milk coloured chocolate				Very glossy and 'plastic'-looking with visible brushtrokes			Y		
5B4	Burnt umber light reddish-brown (Cyprus)	40730	http://www.kremer-pigmente.com/en/pigments/earth-pigments/1339/burnt-umber-light-reddish-brown	UvA reconstructions cupboard	"natural earth, contains manganese oxides "	see: http://www.kremer-pigmente.com/media/pdf/40730MSDS.pdf		"grainy pigment, clumps together in jar"	18	0.7	rather opaque	4	2	4	"colour changed significantly from the pigment, became much darker."	5	2	2	4	2	2	n/a	5	5	4	3	"somewhat difficult to mix, lead white seems to be prone to separating from the brown paint"	feels a bit more heavy when painting in comparison to the unmixed paint	the part that was applied more thinly seems to become more streaky (less uniform) than the unmixed thinly applied paint when drying 			Partiles polking through smooth layer 			Y		
5B5	Burnt umber reddish (Italian)	40700	https://www.kremer-pigmente.com/en/pigments/earth-pigments/1327/burnt-umber-reddish?number=40700	UvA	Italian burnt umber	PBr 8.77727			19	0.7	From rusty brown before adding oil to purple-ish-brown and later nutella 	4	2	1	"colour changed significantly from the pigment, became much darker. "	2	4	5	1	5	1	A lot of paint needed to get a covering paint because it feels pretty dry	4	3	3	4	Feels more supple	Much smoother	Hiding power increased 			Glossy with some brushtrokes			Y		
5C1	Raw sienna	40400	http://www.kremer-pigmente.com/de/terra-di-siena-natur-italienisch-40400.html	UvA	"terra di siena, italian, natural yellow earth."	"Purified natural yellow earth from Italy. Pigment Yellow 43, C.I. 77492. Lightfastness: 8, insoluble in water. http://www.kremer-pigmente.com/media/pdf/40400_MSDS.pdf"		sandy	17	0.5	babypoo	3	5	4	"The paint is much darker than the pigment. Resistance of muller, but easy to grind"	5	5	3	2	2	1	it is fairly easy to apply it thicker and thinner	4	3	4	1	"Changes colour significantly (lighter), felt gritty"	"A lot easier to apply the paint, flows better but the brush strokes are still visible "				Smooth with a few particles poking through		HSI	Y		
5C2	Burnt sienna	40430	http://www.kremer-pigmente.com/en/pigments/earth-pigments/1291/dark-burnt-sienna	UvA		Italian burnt Sienna is prepared by calcining raw sienna. C.I.: Pigment Brown 7			17	0.4	"Pretty intense colour. Pretty red before adding oil, after maroon-brown. Very dark"	4	4	3	Started very gritty	3	5	5	2	4	4	Very difficult to apply thinly	3	3	5	4	Paint felt like it got more body	Still difficult to make a light and dark distinction				Glossy with visible brushtrokes		CHS	Y		
5C3	Venetian red	40510	http://www.kremer-pigmente.com/de/venetianischrot-40510.html	UvA	"Natural red earth from Italy. Pigment Red 102, C.I. 77491"	" Venetian Red from this particular region can be used for the production of Cinabrese, a term for fresh tone color in early Renaissance painting in Florence."		"reddish brown, clumps together slightly"	10	0.5	opaque reddish-brown	5	2	1	"Really smooth right away, particles look dispersed immediately"	4	2	2	2	1	1	Easy to apply thickly or thinly 	4	5	5	2	smooth like butter	"super smooth, has body, easy to paint with. still good hiding power even applied thinly"				Smooth with a few particles poking through		HSI	Y		
